n_jobs	ThreadPoolExecutor	ProcessPoolExecutor
1	0.00012159347534179688	0.00010180473327636719
2	0.0016562938690185547	0.0005602836608886719
3	0.000652313232421875	0.0006077289581298828
4	0.0010833740234375	0.0008215904235839844
5	0.0007681846618652344	0.00038695335388183594
6	0.0005848407745361328	0.0006062984466552734
7	0.0005648136138916016	0.0007679462432861328
8	0.0005702972412109375	0.00046896934509277344
9	0.0005724430084228516	0.0004999637603759766
10	0.0006730556488037109	0.0005176067352294922
11	0.0005333423614501953	0.0005178451538085938
12	0.0005273818969726562	0.0005469322204589844
13	0.0006132125854492188	0.0005340576171875
14	0.0005502700805664062	0.0005433559417724609
15	0.0006275177001953125	0.0006873607635498047
16	0.0009903907775878906	0.001102447509765625
